y_act,vf,vsa,gsa,pld,lcd,TInf
26.22723325,0.96,852,7715,24.3,41.8,0.153118343
3.433927084,0.97,807,8337,24.6,45.1,0.137668062
137.0233473,0.89,1726,4855,12,21.3,0.342976112
8.646266018,0.97,710,7485,27.1,47.6,0.129650255
134.3479338,0.86,1524,4533,12.4,26.6,0.36954467
15.03003447,0.92,1190,6794,17.1,30.5,0.215890988
144.9470063,0.94,1177,6176,17.5,33.8,0.235350211
99.2257025,0.93,1209,5435,37.4,40.5,0.270293561
1.74850926,0.972877,552.141476,6745.775135,32.1906,55.91889,0.09728206
143.8968832,0.94,1225,5860,16.8,31.9,0.250185561
138.0639098,0.9,1610,4993,12.6,23,0.326638478
41.63902758,0.97,780,7323,26.1,46.5,0.144829178
2.318667472,0.97,724,8050,25.2,44.4,0.124804382
2.351079045,0.97,559,7195,31.8,55.3,0.096408065
139.3260724,0.9,1351,5136,14.6,31.4,0.309720663
145.7862741,0.95,1088,6588,18.9,34.3,0.206468907
6.808277826,0.98,565,8104,32.2,57,0.101296296
141.3359993,0.92,1240,5077,16.6,33,0.271716534
116.5229299,0.79,1330,2466,21.9,23.5,0.522727273
130.3987825,0.86,1440,3523,25.9,26.9,0.417910854
123.7639819,0.81,1601,3316,12.6,17.8,0.526007905
133.2584396,0.87,1652,4891,14.6,21.6,0.396211993
87.2364766,0.62,1327,1607,7.7,11.3,0.762502148
130.4197476,0.86,1432,4013,16,22.5,0.405455313
92.49855511,0.93,1201,6656,39.5,42.5,0.248076923
140.720936,0.92,1174,4909,22.1,32.5,0.299690283
142.2064172,0.92,1329,6783,22.6,31.4,0.264105555
49.05761838,0.95,831,6191,33.6,45.6,0.173660942
20.20420387,0.23,385,163,2.9,8.1,0.943148688
114.335731,0.77,1405,2084,13,21,0.496597222
136.2153176,0.89,1166,4077,23,32.8,0.301434402
97.22771887,0.64,1495,1508,8.3,15.9,0.669125
140.3038665,0.92,1277,5322,21.4,29.8,0.288199965
141.5897553,0.92,1284,6304,22.5,30.1,0.273803571
45.70890159,0.94,1037,6049,26.3,35.8,0.199864792
115.4931188,0.78,1529,2602,12.1,17.5,0.57007316
140.6464932,0.92,1310,5736,21.9,29.9,0.269622803
143.9887755,0.93,1163,5703,24.2,34.8,0.253257888
58.33646093,0.95,845,6424,32.5,45.3,0.180781348
50.2716747,0.95,852,6197,32.5,46.5,0.183407802
45.10060662,0.96,725,6286,38,52.7,0.149528
128.9119497,0.85,1363,3265,15.8,23.3,0.417450519
31.88099457,0.93,1055,5145,25.3,36.4,0.214636843
109.5856608,0.76,1413,2030,11.3,19.8,0.532608696
85.4644277,0.65,1366,1111,6.8,10.4,0.775260417
132.7407689,0.86,1474,4127,15.8,22.5,0.417252747
140.1012095,0.91,1471,5598,19.3,25.7,0.327438609
139.413184,0.91,1362,4850,19.7,29.1,0.338072348
143.6831835,0.94,1257,7097,23,31.4,0.245459402
62.44511979,0.94,1207,6594,24.2,31.7,0.226993519
77.5419128,0.94,1078,6824,26.3,35.1,0.220414905
74.56374033,0.94,1054,6888,52.8,54.7,0.214244824
8.70545857,0.96,733,6051,37.5,51.1,0.14084
70.16744665,0.94,902,5582,58.9,59.5,0.206640338
71.94484587,0.92,1089,4388,24.7,34.1,0.273850306
112.6701589,0.76,1410,2090,11.6,19.8,0.530403277
55.14897502,0.94,898,5459,30.5,42.8,0.196625344
143.6885686,0.93,1185,5564,23.6,33.7,0.2703125
143.8263935,0.93,1161,5796,24,33,0.250032092
143.4501228,0.93,1135,5343,24,33.4,0.233355263
124.1482097,0.82,2405,5170,9.6,12.1,0.541707653
79.46898647,0.94,1104,6615,25,36.1,0.23427251
68.2982713,0.94,1073,6179,25.4,35.9,0.219904882
10.7401011,0.95,833,6091,31,42.3,0.160512575
125.5836806,0.84,1553,3452,13.5,20.5,0.496617327
139.295539,0.91,1233,4447,22,31.2,0.28956229
54.62424605,0.95,905,6724,32.1,44.2,0.190353909
51.33257104,0.96,773,6754,35.9,49.5,0.161118367
48.37335853,0.96,685,6970,40.2,54.9,0.139047655
134.7206959,0.88,1230,3611,18.5,26.3,0.373014221
135.0211697,0.89,1552,4786,14.9,25.6,0.383727078
119.0544913,0.8,1279,2174,13.9,22.6,0.492565158
83.6731553,0.85,1186,3465,33.6,34.8,0.381965465
52.28730178,0.95,810,5701,33.8,46.9,0.173403139
130.5978928,0.86,1309,2875,16.1,26,0.393102097
129.874152,0.85,1235,2857,18.1,26.8,0.401052167
143.4098151,0.93,1286,6018,21.7,29.7,0.269372848
141.647178,0.92,1291,5890,21.7,29.7,0.278529657
86.19798115,0.86,1331,3601,36.3,37.6,0.362608403
144.0268515,0.94,1121,6641,25.3,34.6,0.231095041
73.09801374,0.95,973,6638,27.6,38.1,0.197168857
64.17588256,0.96,830,6496,31.2,42.5,0.167452237
138.0034988,0.9,1129,4060,20.9,32.1,0.324089151
42.45282979,0.95,876,5617,32.3,44.6,0.176676371
43.64687674,0.95,858,6187,31.8,43.1,0.180182257
141.9649377,0.91,1362,4653,19.4,28,0.325444444
30.03069008,0.96,717,6446,38.1,51.9,0.135144
78.65682341,0.89,1220,4086,40.9,42.6,0.296810458
34.45277575,0.97,594,7566,44.2,60.8,0.115290535
134.847076,0.89,1236,3623,16.7,25.2,0.386928763
45.88368423,0.94,842,5138,31.5,45.2,0.194639578
128.97612,0.85,1184,2663,18.3,26.7,0.396094683
122.4243645,0.83,1527,3291,19.7,21.7,0.442410714
127.9201397,0.86,1514,3472,22.3,24.6,0.357149287
132.3157564,0.87,1525,4224,21.9,24.3,0.344583333
88.23544475,0.93,1209,5259,30.2,32.6,0.261085116
73.15448198,0.93,1236,6685,34.4,36.1,0.225343651
131.2067024,0.85,2155,5213,10.2,12.8,0.46942334
