MOF,Temp,Pres,Loading
 jacs.6b11027_ja6b11027_si_002_clean,298 ,11000 ,  59.6375618378 
 jacs.6b11027_ja6b11027_si_002_clean,298 ,12000 ,  62.9405191398 
 jacs.6b11027_ja6b11027_si_002_clean,298 ,15000 ,  60.2392539744 
 jacs.6b11027_ja6b11027_si_002_clean,298 ,10 ,  52.5869894136 
 jacs.6b11027_ja6b11027_si_002_clean,298 ,100 ,  52.7627447864 
 jacs.6b11027_ja6b11027_si_002_clean,298 ,1000 ,  52.8445675856 
 jacs.6b11027_ja6b11027_si_002_clean,298 ,10000 ,  57.0518959232 
 jacs.6b11027_ja6b11027_si_002_clean,298 ,20000 ,  59.7436041856 
 jacs.6b11027_ja6b11027_si_002_clean,298 ,5000 ,  53.1016875500 
 jacs.6b11027_ja6b11027_si_002_clean,298 ,8000 ,  57.0361859457 
 jacs.6b11027_ja6b11027_si_002_clean,298 ,9000 ,  56.5573589245 
