MOF,Temp,Pres,Loading,
5187,298,11000,144.9260431,
5187,298,12000,147.542,* simple averaged
5187,298,15000,150.1583092,
5187,298,10,0.008670803,
5187,298,100,0.093633228,
5187,298,1000,1.037577505,
5187,298,10000,16.20152463,
5187,298,20000,151.7368532,
5187,298,5000,6.076573314,
5187,298,8000,11.17105654,
5187,298,9000,12.90287063,
